,,20190805-오전,일자-중간1,일자-중간2,일자-마지막,20190807-오전,일자-중간1(점심),일자-중간2,일자-중간3,일자-중간4,일자-중간5,일자-마지막,8/8/2019-오전,일자-중간1,일자-중간2,일자-중간3,일자-중간4,8/9/2019-오전,일자-중간1,일자-중간2,일자-중간3,8/12/2019-오전,일자-중간1,일자-중간2,일자-중간3,일자-중간4,일자-중간5,일자-마지막,8/13/2019-오전,일자-중간1,일자-중간2,일자-중간3,일자-중간4,일자-중간5,일자,8/14/2019-오전,,,,,,,8/16/2019-오전,,,,,8/19/2019-오전,,,,,
브랜드이름,맛,8/5/2019,11:00 AM,1:40 PM,6:10 PM,8/7/2019,12:30 PM,1:51 PM,3:00 PM,4:00 PM,5:06 PM,5:55 PM,10:27,12:30,14:26,15:28,16:23,10:00,11:00,15:08,16:05,9:50,10:53,12:58,14:41,15:53,17:00,18:00,9:41,11:20,13:00,14:35,16:00,17:30,18:00,9:43,11:26,12:51,14:14,15:59,17:04,18:04,9:50,10:56,14:49,15:50,17:36,9:51,12:45,14:14,15:38,17:09,18:00
초코하임,,9,6,4,0,,,,,,,,9,5,0,0,0,,,,,,18,15,11,7,6,6,4,3,0,0,0,0,0,9,6,4,3,3,1,0,,,,,,,,,,,
미쯔,,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,,,,,,,,,,,
화이트하임,,9,6,4,0,,,,,,,,9,4,2,0,0,,,,,22,18,17,15,6,5,0,,,,,,,,9,9,7,6,6,1,0,,,,,,18,13,13,6,0,0
후레쉬베리,,12,9,4,0,,,,,,,,6,2,0,0,0,,,,,,,,,,,,,,,,,,,12,7,7,4,2,1,0,,,,,,,,,,,
카스타드,,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초코파이,망고 바나나,,12,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포테이토크리스피,사우어크림어니언,,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포테이토크리스피,바베큐맛,,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크라운산도,딸기크림치즈,,8,3,0,,,,,,,,16,10,10,8,4,2,2,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크라운산도,스윗밀크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,6,4,0,0
오레오,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
키드오,,,,,,93,88,87,87,87,84,83,83,81,80,78,78,77,77,75,70,59,50,43,43,43,43,43,44,44,44,44,43,43,43,,,,25,24,23,23,40,40,40,37,37,37,35,35,33,28,27
크리스피롤,,,,,,26,34,33,30,30,29,24,24,20,20,20,20,19,19,20,19,19,16,15,15,15,16,16,16,16,15,15,13,12,12,12,11,11,11,11,10,9,19,19,19,17,15,,,,,,
누네띠네,,,,,,38,28,27,26,26,23,22,21,21,21,21,21,20,20,19,18,56,56,56,56,53,54,54,54,54,54,53,53,52,51,51,50,50,50,50,50,50,65,65,65,64,64,,,,,,
카스타드,,,,,,12,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쿠쿠다스,그냥?~,,,,,36,30,26,19,20,14,10,6,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
버터링,,,,,,4,3,1,1,1,1,1,1,0,0,0,0,,,,,4,3,3,3,3,3,3,3,3,2,1,1,1,0,,,,,,,,,,,,,,,,,,
예감,오리지널,,,,,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예감,치즈그라탕,,,,,4,0,0,0,0,0,0,,,,,,,,,,8,4,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
촉촉한 초코칩,,,,,,,,12,8,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
버터와플,,,,,,,,12,9,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오뜨,치즈,,,,,,,6,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVY,,,,,,,,,6,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소미,,,,,,,,,,12,9,7,6,6,4,4,3,3,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참크래커,,,,,,,,,,,,,6,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
빅파이,,,,,,,,,,,,,12,6,6,6,4,4,3,2,0,2,2,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
마가렛트,,,,,,,,,,,,,12,8,7,5,3,2,2,1,0,,,,,,,,,,,,,,,12,8,8,7,7,1,2,2,1,0,0,0,,,,,,
빈츠,,,,,,,,,,,,,24,5,4,0,0,,,,,,24,24,24,16,15,11,35,28,24,20,15,7,2,,,,,,,,2,2,0,0,1,,,,,,
칸쵸,스윗밀크,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
칸쵸,초코,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
몽쉘,카카오,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,,,,,,,,,6,4,4,3,2,2,1,,,,,,,,,,,
몽쉘,생크림,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,6,6,5,3,1,,,,,,,,,,,
바나나,,,,,,,,,,,,,,,,,,,,,,38,10,9,9,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
다이제 씬,,,,,,,,,,,,,,,,,,,,,,,9,9,9,4,0,0,9,7,3,3,0,0,0,,,,,,,,,,,,,,,,,,
뽀또,,,,,,,,,,,,,,,,,,,,,,14,12,11,11,9,9,7,5,5,3,3,2,0,0,,,,,,,,,,,,,,,,,,
마이쭈,복숭아,,,,,,,,,,,,,,,,,,,,,3,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
마이쭈,딸기,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
롤리폴리,초코,,,,,,,,,,,,,,,,,,,,,,19,15,13,7,5,4,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
칙촉,,,,,,,,,,,,,,,,,,,,,,,12,8,8,3,1,0,12,7,3,0,0,0,0,,,,,,,,,,,,,,,,,,
마이쮸,사과,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,34,25,24,21,20,21,,,,,,,,7,7,1,1,1,,,,,,
마이쮸,포도,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,38,29,27,23,13,13,,,,,,,,8,8,2,2,2,,,,,,
자유시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,52,49,47,44,27,21,,,,10,8,7,7,16,16,14,11,3,,,,,,
참쌀이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,9,5,3,2,0,0,20,18,18,16,12,11,12,12,12,12,9,7,20,17,16,14,10,0
자가비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
로투스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,48,47,47,47,33,33,,,,10,9,9,8,28,28,28,28,25,,,,,,
롯데샌드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
스위트 포테이토 크리스피(보라색),,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,44,36,35,32,23,20,,,,15,12,7,7,10,7,5,2,0,,,,,,
포테이토 크리스피,사워크림,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,52,52,49,47,44,38,38,36,37,35,35,35,34,34,32,25,26
쿠크다스,화이트토르테,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,24,24,24,21,22,22,21,18,16,15,,,,,,
쿠크다스,비엔나커피,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,36,36,31,29,25
ABC초코쿠키,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,
미니초코칩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,
초코틴틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,9,0,0,0
아몬드 블라썸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4,4,1,0