,,Default,20190805-오전,일자-중간1,오전,일자-중간2,선미,일자-마지막,아샬,오후,총 소비량
브랜드이름,맛,,8/5/2019,11:00 AM,,1:40 PM,,6:10 PM,,,
초코하임,,9,9,6,3,4,5,0,4,6,9
미쯔,,6,6,2,4,0,6,0,0,2,6
화이트하임,,9,9,6,3,4,5,0,4,6,9
후레쉬베리,,12,12,9,3,4,8,0,4,9,12
카스타드,,6,6,1,5,0,6,0,0,1,6
초코파이,망고 바나나,12,,12,0,8,4,3,5,9,9
포테이토크리스피,사우어크림어니언,6,,6,0,0,6,0,0,6,6
포테이토크리스피,바베큐맛,6,,6,0,0,6,0,0,6,6
크라운산도,딸기크림치즈,8,,8,0,3,5,0,3,8,8
크라운산도,스윗밀크,,,,0,,0,,0,0,0
오레오,,2,,,0,2,0,1,1,1,1
키드오,,,,,0,,0,,0,0,
크리스피롤,,,,,0,,0,,0,0,
누네띠네,,,,,0,,0,,0,0,
카스타드,,,,,0,,0,,0,0,
쿠쿠다스,그냥?~,,,,0,,0,,0,0,
버터링,,,,,0,,0,,0,0,
예감,오리지널,,,,0,,0,,0,0,
예감,치즈그라탕,,,,0,,0,,0,0,
촉촉한 초코칩,,,,,0,,0,,0,0,
버터와플,,,,,0,,0,,0,0,
오뜨,치즈,,,,0,,0,,0,0,
IVY,,,,,0,,0,,0,0,
고소미,,,,,0,,0,,0,0,
참크래커,,,,,0,,0,,0,0,
빅파이,,,,,0,,0,,0,0,
마가렛트,,,,,0,,0,,0,0,
빈츠,,,,,0,,0,,0,0,
칸쵸,스윗밀크,,,,0,,0,,0,0,
칸쵸,초코,,,,0,,0,,0,0,
몽쉘,카카오,,,,0,,0,,0,0,
몽쉘,생크림,,,,0,,0,,0,0,
바나나,,,,,0,,0,,0,0,
다이제 씬,,,,,0,,0,,0,0,
뽀또,,,,,0,,0,,0,0,
마이쭈,복숭아,,,,0,,0,,0,0,
마이쭈,딸기,,,,0,,0,,0,0,
롤리폴리,초코,,,,0,,0,,0,0,
칙촉,,,,,0,,0,,0,0,
마이쮸,사과,,,,0,,0,,0,0,
마이쮸,포도,,,,0,,0,,0,0,
자유시간,,,,,0,,0,,0,0,
참쌀이야기,,,,,0,,0,,0,0,
자가비,,,,,0,,0,,0,0,
로투스,,,,,0,,0,,0,0,
롯데샌드,,,,,0,,0,,0,0,
스위트 포테이토 크리스피(보라색),,,,,0,,0,,0,0,
포테이토 크리스피,사워크림,,,,0,,0,,0,0,
쿠크다스,화이트토르테,,,,0,,0,,0,0,
쿠크다스,비엔나커피,,,,0,,0,,0,0,
ABC초코쿠키,,,,,0,,0,,0,0,
미니초코칩,,,,,0,,0,,0,0,
초코틴틴,,,,,0,,0,,0,0,
아몬드 블라썸,,,,,0,,0,,0,0,
,,,,,0,,0,,0,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,0,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,